Title,Authors,DocumentURL,URL,PublicationDate,Database
Generating population estimates for common and widespread breeding birds in Ireland,"Crowe, Olivia;Musgrove, Andy J;O'Halloran, John",https://search.proquest.com/docview/1686720896?accountid=14507,,"Jan 2, 2014",SciTech Premium Collection
Brazilian Microbiome Project: Revealing the Unexplored Microbial Diversity--Challenges and Prospects,"Pylro, Victor Satler;Roesch, Luiz Fernando; Wurdig;Ortega, José Miguel;Do Amaral, Alexandre Morais;Tótola, Marcos Rogério;Hirsch, Penny Ruth;Rosado, Alexandre Soares;Góes-neto, Aristóteles;Da Costa Da Silva, Artur Luiz;Rosa, Carlos Augusto;Morais, Daniel Kumazawa;Andreote, Fernando Dini;Duarte, Gabriela Frois;de Melo, Itamar Soares;Seldin, Lucy;Lambais, Márcio Rodrigues;Hungria, Mariangela;Peixoto, Raquel Silva;Kruger, Ricardo Henrique;Tsai, Siu Mui;Azevedo, Vasco",https://search.proquest.com/docview/1498894020?accountid=14507,,Feb 2014,SciTech Premium Collection
Bird Atlas makes for great reading [Edition 3],"Hurley, Jim",https://search.proquest.com/docview/1502580125?accountid=14507,,"Feb 25, 2014",European Newsstream
Citizen science puts dots on Ireland's wildlife map,"Viney, Michael",https://search.proquest.com/docview/1736396407?accountid=14507,,"Mar 1, 2014",ProQuest Historical Newspapers: The Irish Times and The Weekly Irish Times
"The impact of climatic change on butterfly geography: does climatic change produce coincident trends in populations, distributions and ranges?","Hardy, Peter B;Sparks, Tim H;Dennis, Roger L; H",https://search.proquest.com/docview/1504714999?accountid=14507,,Apr 2014,SciTech Premium Collection
"The impact of climatic change on butterfly geography: does climatic change produce coincident trends in populations, distributions and ranges?","Hardy, Peter B;Sparks, Tim H;Dennis, Roger LH",https://search.proquest.com/docview/1508758770?accountid=14507,,April 2014,SciTech Premium Collection
Secretarybird Sagittarius serpentarius Population Trends and Ecology: Insights from South African Citizen Science Data,"Hofmeyr, Sally D;Symes, Craig T;Underhill, Leslie G",https://search.proquest.com/docview/1522948329?accountid=14507,,May 2014,SciTech Premium Collection
Scientist saddles up to see the best of Ireland's wildlife,"Siggins, Lorna",https://search.proquest.com/docview/1527756950?accountid=14507,,"May 24, 2014",European Newsstream
Scientist saddles up to see the best of Ireland's wildlife,"Siggins, Lorna",https://search.proquest.com/docview/1736418180?accountid=14507,,"May 24, 2014",ProQuest Historical Newspapers: The Irish Times and The Weekly Irish Times
Can coarse-grain patterns in insect atlas data predict local occupancy?,"Barwell, Louise J;Azaele, Sandro;Kunin, William E;Isaac, Nick J B",https://search.proquest.com/docview/1543613136?accountid=14507,,Aug 2014,SciTech Premium Collection
The role of citizen science in monitoring biodiversity in Ireland,"Donnelly, Alison;Crowe, Olivia;Regan, Eugenie;Begley, Sinead;Caffarra, Amelia",https://search.proquest.com/docview/1555013414?accountid=14507,,August 2014,SciTech Premium Collection
The role of citizen science in monitoring biodiversity in Ireland,"Donnelly, Alison;Crowe, Olivia;Regan, Eugenie;Begley, Sinead;Caffarra, Amelia",https://search.proquest.com/docview/1663588098?accountid=14507,,Aug 2014,SciTech Premium Collection
Can coarse-grain patterns in insect atlas data predict local occupancy?,"Barwell, Louise J;Azaele, Sandro;Kunin, William E;Isaac, Nick J B;Richardson, David",https://search.proquest.com/docview/1999932248?accountid=14507,,Aug 2014,SciTech Premium Collection
The Invisible Prevalence of Citizen Science in Global Research: Migratory Birds and Climate Change,"Cooper, Caren B;Shirk, Jennifer;Zuckerberg, Benjamin",https://search.proquest.com/docview/1559783648?accountid=14507,,Sep 2014,SciTech Premium Collection
Shelducks and waders in decline,,https://search.proquest.com/docview/1561491078?accountid=14507,,"Sep 1, 2014",European Newsstream
"Anatomy of Colymbosaurus megadeirus (Reptilia, Plesiosauria) from the Kimmeridge Clay Formation of the U.K., and High Diversity Among Late Jurassic Plesiosauroids","Benson, Roger BJ;Bowdler, Timothy",https://search.proquest.com/docview/1808372274?accountid=14507,,September 2014,SciTech Premium Collection
"Large-scale Spatial Patterns in Species Richness of Orthoptera in the Greater London Area, United Kingdom: Relationships with Land Cover","Cherrill, Andrew",https://search.proquest.com/docview/1735923471?accountid=14507, http://www.tandfonline.com/doi/abs/10.1080/01426397.2014.902922,"January 1, 2015",SciTech Premium Collection
Mollusks on Brazilian postage stamps,"Salvador, Rodrigo B;Ribeiro, Guilherme;Cavallari, Daniel C",https://search.proquest.com/docview/1768580950?accountid=14507,,January 2015,SciTech Premium Collection
Citizen science reveals trends in bat populations: The National Bat Monitoring Programme in Great Britain,"Barlow, KE;Briggs, P A;Haysom, KA;Hutson, A M;Lechiara, N L;Racey, P A;Walsh, AL;Langton, S D",https://search.proquest.com/docview/1673379737?accountid=14507,,20150200,SciTech Premium Collection
Citizen science reveals trends in bat populations: The National Bat Monitoring Programme in Great Britain,"Barlow, KE;Briggs, P A;Haysom, KA;Hutson, A M;Lechiara, N L;Racey, P A;Walsh, AL;Langton, S D",https://search.proquest.com/docview/1677976547?accountid=14507,,20150200,SciTech Premium Collection
Citizen science reveals trends in bat populations: The National Bat Monitoring Programme in Great Britain,"Barlow, K E;Briggs, P A;Haysom, K A;Hutson, A M;Lechiara, N L;Racey, P A;Walsh, A L;Langton, S D",https://search.proquest.com/docview/1836649599?accountid=14507,,Feb 2015,SciTech Premium Collection
Trait-based analysis of decline in plant species ranges during the 20th century: a regional comparison between the UK and Estonia.,"Laanisto, Lauri;Sammul, Marek;Kull, Tiiu;Macek, Petr;Hutchings, Michael J",https://search.proquest.com/docview/1826615997?accountid=14507,,"February 2, 2015",SciTech Premium Collection
Using eDNA to develop a national citizen science-based monitoring programme for the great crested newt (Triturus cristatus),"Biggs, Jeremy;Ewald, Naomi;Valentini, Alice;Gaboriaud, Coline;Dejean, Tony;Griffiths, Richard A;Foster, Jim;Wilkinson, John W;Arnell, Andy;Brotherton, Peter;Williams, Penny;Dunn, Francesca",https://search.proquest.com/docview/1673379805?accountid=14507,,March 2015,SciTech Premium Collection
Using eDNA to develop a national citizen science-based monitoring programme for the great crested newt (Triturus cristatus),"Biggs, Jeremy;Ewald, Naomi;Valentini, Alice;Gaboriaud, Coline;Dejean, Tony;Griffiths, Richard A;Foster, Jim;Wilkinson, John W;Arnell, Andy;Brotherton, Peter;Williams, Penny;Dunn, Francesca",https://search.proquest.com/docview/1836620384?accountid=14507,,Mar 2015,SciTech Premium Collection
"Large-scale Spatial Patterns in Species Richness of Orthoptera in the Greater London Area, United Kingdom: Relationships with Land Cover","Cherrill, Andrew",https://search.proquest.com/docview/1705461178?accountid=14507,,"May 19, 2015",SciTech Premium Collection
Where in the UK are New Zealand Flatworms and what are they up to?,,https://search.proquest.com/docview/1686016438?accountid=14507,,"Jun 5, 2015","Accounting, Tax & Banking Collection,European Newsstream"
Where in the UK are New Zealand Flatworms and what are they up to?,,https://search.proquest.com/docview/1686748823?accountid=14507,,"Jun 9, 2015","Accounting, Tax & Banking Collection,European Newsstream"
An avian jetsetter from Suffolk has helped scientists... [Derived Headline],PR Script Managers,https://search.proquest.com/docview/1691196103?accountid=14507,,"Jun 26, 2015",European Newsstream
Recent trends in UK insects that inhabit early successional stages of ecosystems,"Thomas, Jeremy A;Edwards, Mike;Simcox, David J;Powney, Gary D;August, Tom A;Isaac, Nick J B",https://search.proquest.com/docview/1688990390?accountid=14507,,Jul 2015,SciTech Premium Collection
Taking the oldest insect recording scheme into the 21st Century,"Foster, Garth N",https://search.proquest.com/docview/1688990428?accountid=14507,,Jul 2015,SciTech Premium Collection
Geographical range margins of many taxonomic groups continue to shift polewards,"Mason, Suzanna C;Palmer, Georgina;Fox, Richard;Gillings, Simon;Hill, Jane K;Thomas, Chris D;Oliver, Tom H",https://search.proquest.com/docview/1688990431?accountid=14507,,Jul 2015,SciTech Premium Collection
Trait-based analysis of decline in plant species ranges during the 20th century: a regional comparison between the UK and Estonia,"Laanisto, Lauri;Sammul, Marek;Kull, Tiiu;Macek, Petr;Hutchings, Michael J",https://search.proquest.com/docview/1689314800?accountid=14507,,Jul 2015,SciTech Premium Collection
Challenges for biodiversity monitoring using citizen science in transitioning social-ecological systems,"Loos, Jacqueline;Horcea-Milcu, Andra I;Kirkland, Paul;Hartel, Tibor;Osváth-Ferencz, Márta;Fischer, Joern",https://search.proquest.com/docview/2000139066?accountid=14507,,Jul 2015,SciTech Premium Collection
Experts unveil all-Ireland plan to put the buzz back into our bee population,"Stewart, Linda",https://search.proquest.com/docview/1712725730?accountid=14507,,"Sep 17, 2015",European Newsstream
Red List assessments of East African chameleons: a case study of why we need experts,"Hjarding, Angelique;Tolley, Krystal A;Burgess, Neil D",https://search.proquest.com/docview/1709262543?accountid=14507,,Oct 2015,SciTech Premium Collection
Can Observation Skills of Citizen Scientists Be Estimated Using Species Accumulation Curves?,"Kelling, Steve;Johnston, Alison;Hochachka, Wesley M;Iliff, Marshall;Fink, Daniel;Gerbracht, Jeff;Lagoze, Carl;La Sorte, Frank A;Moore, Travis;Wiggins, Andrea;Weng-Keen, Wong;Wood, Chris;Yu, Jun",https://search.proquest.com/docview/1721147983?accountid=14507,,Oct 2015,SciTech Premium Collection
Climate association with fluctuation in annual abundance of fifty widely distributed moths in England and Wales: a citizen-science study,"Wilson, John Fawcett;Baker, David;Cook, Mike;Davis, George;Freestone, Roger;Gardner, David;Grundy, Dave;Lowe, Norman;Orridge, Steve;Young, Heather",https://search.proquest.com/docview/1746895920?accountid=14507,,October 2015,SciTech Premium Collection
Climate association with fluctuation in annual abundance of fifty widely distributed moths in England and Wales: a citizen-science study,"Wilson, John Fawcett;Baker, David;Cook, Mike;Davis, George;Freestone, Roger;Gardner, David;Grundy, Dave;Lowe, Norman;Orridge, Steve;Young, Heather",https://search.proquest.com/docview/1803076662?accountid=14507,,Oct 2015,SciTech Premium Collection
"Two-spot ladybird (Adalia bipunctata) in Armagh, Sligo, Galway and Dublin","Cotton, Don;Dunleavy, Jean;Govier, Robin",https://search.proquest.com/docview/1768568913?accountid=14507,,"October 9, 2015",SciTech Premium Collection
Can you be the first to report an Ivy Bee in Ireland?,"Hurley, Jim",https://search.proquest.com/docview/1721534548?accountid=14507,,"Oct 13, 2015",European Newsstream
Taking a 'Big Data' approach to data quality in a citizen science project,"Kelling, Steve;Fink, Daniel;La Sorte, Frank A;Johnston, Alison;Bruns, Nicholas E;Hochachka, Wesley M",https://search.proquest.com/docview/1727605601?accountid=14507,,Nov 2015,"ABI/INFORM Global,SciTech Premium Collection,Social Science Premium Collection"
"The National Landslide Database of Great Britain: Acquisition, communication and the role of social media","Pennington, Catherine;Freeborough, Katy;Dashwood, Claire;Dijkstra, Tom;Lawrie, Kenneth",https://search.proquest.com/docview/1727689296?accountid=14507,,November 2015,SciTech Premium Collection
An Analysis of Citizen Science Based Research: Usage and Publication Patterns,"Follett, Ria;Strezov, Vladimir",https://search.proquest.com/docview/1735663802?accountid=14507,,Nov 2015,SciTech Premium Collection
Still time to submit data to atlas database,,https://search.proquest.com/docview/1737910072?accountid=14507,,"Dec 1, 2015",European Newsstream
The OPAL bugs count survey: exploring the effects of urbanisation and habitat characteristics using citizen science,"Bates, Adam J;Lakeman Fraser, Poppy;Robinson, Lucy;Tweddle, John C;Sadler, Jon P;West, Sarah E;Norman, Simon;Batson, Martin;Davies, Linda",https://search.proquest.com/docview/1768573704?accountid=14507,,December 2015,SciTech Premium Collection
"Citizen science: a new approach to advance ecology, education, and conservation","Kobori, Hiromi;Dickinson, Janis L;Washitani, Izumi;Sakurai, Ryo;Amano, Tatsuya;Komatsu, Naoya;Kitamura, Wataru;Takagawa, Shinichi;Koyama, Kazuo;Ogawara, Takao;Miller-Rushing, A J",https://search.proquest.com/docview/1762375025?accountid=14507,,January 2016,SciTech Premium Collection
"Evaluating citizen science for natural resource monitoring: Participant motivations, attitude and behavioral change, and the influence of natural resource characteristics on program potential","Chase, Sarah K.",https://search.proquest.com/docview/1809118236?accountid=14507,,2016,"ProQuest Dissertations & Theses A&I,SciTech Premium Collection"
"The Priolo Atlas: A citizen science-based census initiative for supporting Pyrrhula murina habitat conservation and restoration policies in SÃ£o Miguel Island (Azores, Portugal)","Gil, Artur;Ceia, Ricardo;Coelho, Rúben;TeodÓsio, Joaquim;Sampaio, Hugo;Veríssimo, Carla;Heleno, Ruben;Ramos, Jaime;TimÓteo, Sérgio",https://search.proquest.com/docview/2000338575?accountid=14507,,Jan 2016,SciTech Premium Collection
"'Mark Carwardine’s Guide to Whale Watching: Britain and Europe' by Mark Carwardine, 2016. [book review]","John, R",https://search.proquest.com/docview/2011602007?accountid=14507,,2016,SciTech Premium Collection
Citizen science reveals huge loss of bird life,"Bowern, Philip",https://search.proquest.com/docview/1761210853?accountid=14507,,"Jan 30, 2016",European Newsstream
Evaluating β Diversity as a Surrogate for Species Representation at Fine Scale,"Beier, Paul;Albuquerque, Fábio",https://search.proquest.com/docview/1770505151?accountid=14507,,Mar 2016,SciTech Premium Collection
Focal Plant Observations as a Standardised Method for Pollinator Monitoring: Opportunities and Limitations for Mass Participation Citizen Science,"Roy, Helen E;Baxter, Elizabeth;Saunders, Aoine;Pocock, Michael J O",https://search.proquest.com/docview/1774172811?accountid=14507,,Mar 2016,SciTech Premium Collection
"Magasella sanguinea (Leach, 1814) and Magasella haurakiensis (Allan, 1931): resolving the taxonomic placement of these endemic New Zealand brachiopods using morphological and molecular traits","Robinson, J H;Donald, K M;Brandt, A J;Lee, DE",https://search.proquest.com/docview/1811902781?accountid=14507,,"April 2, 2016",SciTech Premium Collection
Citizen Science and the Urban Ecology of Birds and Butterflies — A Systematic Review,"James Wang Wei;Lee, Benjamin P Y-H;Low, Bing Wen",https://search.proquest.com/docview/1795664531?accountid=14507,,Jun 2016,SciTech Premium Collection
Long-term changes in the migration phenology of UK breeding birds detected by large-scale citizen science recording schemes,"Newson, Stuart E;Moran, Nick J;Musgrove, Andy J;Pearce-Higgins, James W;Gillings, Simon;Atkinson, Philip W;Miller, Ryan;Grantham, Mark J;Baillie, Stephen R",https://search.proquest.com/docview/1810051908?accountid=14507,,Jul 2016,SciTech Premium Collection
Differences between urban and rural hedges in England revealed by a citizen science project.,"Gosling, Laura;Sparks, Tim H;Araya, Yoseph;Harvey, Martin;Ansine, Janice",https://search.proquest.com/docview/1807532824?accountid=14507,,"July 22, 2016",SciTech Premium Collection
"Surveying the citizen science landscape: an exploration of the design, delivery and impact of citizen science through the lens of the Open Air Laboratories (OPAL) programme.","Davies, Linda;Fradera, Roger;Riesch, Hauke;Lakeman-Fraser, Poppy",https://search.proquest.com/docview/1807535567?accountid=14507,,"July 22, 2016",SciTech Premium Collection
Quantifying the long-term decline of the West European hedgehog in England by subsampling citizen-science datasets,"Hof, Anouschka R;Bright, Paul W",https://search.proquest.com/docview/1811154807?accountid=14507,,Aug 2016,SciTech Premium Collection
Charity asks for help as cold spring delays NI blackberry harvest,,https://search.proquest.com/docview/1808008686?accountid=14507,,"Aug 2, 2016",European Newsstream
Angling for data: Recreational anglers’ records of conger eel (Conger conger) landings from the English Channel between 1990-1991,"Johnson, Magnus L;Wheeler, Philip",https://search.proquest.com/docview/1953811577?accountid=14507,,"Aug 15, 2016",SciTech Premium Collection
RAPPER: A new method for rapid assessment of macroalgae as a complement to diatom-based assessments of ecological status,"Kelly, Martyn G;Krokowski, Jan;Harding, JPC",https://search.proquest.com/docview/1827906843?accountid=14507,,October 2016,SciTech Premium Collection
Practitioners' viewpoints on citizen science in water management: a case study in Dutch regional water resource management,"Minkman, Ellen;van der Sanden, Maarten;Rutten, Martine",https://search.proquest.com/docview/1856576169?accountid=14507,,2017,SciTech Premium Collection
"Citizen science identifies the effects of nitrogen deposition, climate and tree species on epiphytic lichens across the UK","Welden, N A;Wolseley, P A;Ashmore, M R",https://search.proquest.com/docview/2000588235?accountid=14507,,2017,SciTech Premium Collection
Designing task workflows to ensure the best scientific outcomes in citizen science,"Sprinks, James C.",https://search.proquest.com/docview/2001156696?accountid=14507,,2017,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I"
Playground lookouts for endangered birds,"Harrison, Jody",https://search.proquest.com/docview/1856200783?accountid=14507,,"Jan 8, 2017",European Newsstream
Cartilaginous fish among our most endangered,"Hurley, Jim",https://search.proquest.com/docview/1870492848?accountid=14507,,"Feb 22, 2017",European Newsstream
"Citizens, ask not what science can do for you",Aoibhinn Ni Shuilleabhain,https://search.proquest.com/docview/1870775002?accountid=14507,,"Feb 23, 2017",European Newsstream
Efficient occupancy model-fitting for extensive citizen-science data,"Dennis, Emily B;Morgan, Byron J T;Freeman, Stephen N;Ridout, Martin S;Brereton, Tom M;Fox, Richard;Powney, Gary D;Roy, David B",https://search.proquest.com/docview/1879964534?accountid=14507,,Mar 2017,SciTech Premium Collection
"The global avian invasions atlas, a database of alien bird distributions worldwide","Dyer, Ellie E;Redding, David W;Blackburn, Tim M",https://search.proquest.com/docview/1884214685?accountid=14507,,Mar 2017,SciTech Premium Collection
Puffin project given lottery cash boost,,https://search.proquest.com/docview/1877725458?accountid=14507,,"Mar 15, 2017",European Newsstream
Puffin project given lottery cash boost,,https://search.proquest.com/docview/1877947116?accountid=14507,,"Mar 15, 2017",European Newsstream
Sighting of Red Admiral flags up the start of spring,"Simpson, Alan",https://search.proquest.com/docview/1878357510?accountid=14507,,"Mar 18, 2017",European Newsstream
Take the spring flower survey to help learn more,J I M H U R L E Y 'S,https://search.proquest.com/docview/1879872563?accountid=14507,,"Mar 23, 2017",European Newsstream
Observed and dark diversity of alien plant species in Europe: estimating future invasion risk,"Ronk, Argo;Szava-kovats, Robert;Zobel, Martin;Pärtel, Meelis",https://search.proquest.com/docview/1877046539?accountid=14507,,Apr 2017,SciTech Premium Collection
The diversity and evolution of ecological and environmental citizen science,"Pocock, Michael J O;Tweddle, John C;Savage, Joanna;Robinson, Lucy D;Roy, Helen E",https://search.proquest.com/docview/1883868543?accountid=14507,,Apr 2017,SciTech Premium Collection
Contributions to conservation outcomes by natural history museum-led citizen science: Examining evidence and next steps,"Ballard, Heidi L;Robinson, Lucy D;Young, Alison N;Pauly, Gregory B;Higgins, Lila M;Johnson, Rebecca F;Tweddle, John C",https://search.proquest.com/docview/2000218787?accountid=14507,,Apr 2017,SciTech Premium Collection
Is citizen science an open science in the case of biodiversity observations?,"Groom, Quentin;Weatherdon, Lauren;Geijzendorffer, Ilse R",https://search.proquest.com/docview/2000322357?accountid=14507,,Apr 2017,SciTech Premium Collection
"Quantifying full phenological event distributions reveals simultaneous advances, temporal stability and delays in spring and autumn migration timing in long-distance migratory birds","Miles, Will T S;Bolton, Mark;Davis, Peter;Roy, Dennis;Broad, Roger;Robertson, Iain;Riddiford, Nick J;Harvey, Paul V;Riddington, Roger;Shaw, Deryk N;Parnaby, David;Reid, Jane M",https://search.proquest.com/docview/2020876774?accountid=14507,,Apr 2017,SciTech Premium Collection
Feeling under the weather?,"Pietras, Emma",https://search.proquest.com/docview/1893086450?accountid=14507,,"Apr 30, 2017",European Newsstream
The Evidence Information Service as a new platform for supporting evidence-based policy: a consultation of UK parliamentarians,"Lawrence, Natalia S;Chambers, Jemma C;Morrison, Sinead M;Bestmann, Sven;O'Grady, Gerard;Chambers, Christopher D;Kythreotis, Andrew P",https://search.proquest.com/docview/1947587780?accountid=14507,,May 2017,Social Science Premium Collection
Column: The power of citizen science,,https://search.proquest.com/docview/1900304717?accountid=14507,,"May 17, 2017",European Newsstream
Volunteer network to probe marine life this summer [Northeast Region],,https://search.proquest.com/docview/1907185498?accountid=14507,,"Jun 6, 2017",European Newsstream
Volunteer network to probe marine life this summer,,https://search.proquest.com/docview/1907185603?accountid=14507,,"Jun 6, 2017",European Newsstream
Revealed: 10 worst air pollution hotspots; *Citizen Science investigation reveals air pollution in every region of the UK*,,https://search.proquest.com/docview/1915523500?accountid=14507,,"Jul 4, 2017","Accounting, Tax & Banking Collection,European Newsstream"
Atlas data indicate forest dependent bird species declines in South Africa,"COOPER, TESSA J G ;WANNENBURGH, ANDREW M ;CHERRY, MICHAEL I",https://search.proquest.com/docview/1931262534?accountid=14507,,Sep 2017,SciTech Premium Collection
Utilization of photographs taken by citizens for estimating bumblebee distributions,"Suzuki-ohno, Yukari;Yokoyama, Jun;Nakashizuka, Tohru;Kawata, Masakado",https://search.proquest.com/docview/1953983333?accountid=14507,,Sep 2017,SciTech Premium Collection
UK citizen- science scheme to trap wasps criticized,"Gewin, Virginia",https://search.proquest.com/docview/2002983564?accountid=14507,,Oct 2017,SciTech Premium Collection
Using citizen science butterfly counts to predict species population trends.,"Dennis, Emily B;Morgan, Byron J T;Brereton, Tom M;Roy, David B;Fox, Richard",https://search.proquest.com/docview/1896041996?accountid=14507,,December 2017,SciTech Premium Collection
ALTITUDINAL RANGE SHIFTS OF BIRDS AT THE SOUTHERN PERIPHERY OF THE BOREAL FOREST: 40 YEARS OF CHANGE IN THE ADIRONDACK MOUNTAINS,"Kirchman, Jeremy J;Van Keuren, Alison E",https://search.proquest.com/docview/2051207119?accountid=14507,,Dec 2017,SciTech Premium Collection
"Citizen science identifies the effects of nitrogen deposition, climate and tree species on epiphytic lichens across the UK.","Welden, N A;Wolseley, P A;Ashmore, M R",https://search.proquest.com/docview/1945717934?accountid=14507,,January 2018,SciTech Premium Collection
A Democratization of Approaches: Integrating Citizen Science Into the Museum Visitor Experience,"Mutascio, Holly E.",https://search.proquest.com/docview/2049732920?accountid=14507,,2018,ProQuest Dissertations & Theses A&I
Species identification by conservation practitioners using online images: accuracy and agreement between experts,"Austen, Gail E;Bindemann, Markus;Griffiths, Richard A;Roberts, David L",https://search.proquest.com/docview/1991078666?accountid=14507,,"Jan 25, 2018",SciTech Premium Collection
Dialects of an invasive songbird are preserved in its invaded but not native source range,"Pipek, Pavel;Petruskova, Tereza;Petrusek, Adam;Diblikova, Lucie;Eaton, Mark A;Pysek, Petr",https://search.proquest.com/docview/1992950815?accountid=14507,,Feb 2018,SciTech Premium Collection
SPRING FLING,,https://search.proquest.com/docview/1993163318?accountid=14507,,"Feb 1, 2018",European Newsstream
Three ways to combine a holiday with horticulture,,https://search.proquest.com/docview/2002707867?accountid=14507,,"Feb 17, 2018",European Newsstream
The sensitivity of breeding songbirds to changes in seasonal timing is linked to population change but cannot be directly attributed to the effects of trophic asynchrony on productivity,"Franks, Samantha E;Pearce-Higgins, James W;Atkinson, Sian;Bell, James R;Botham, Marc S;Brereton, Tom M;Harrington, Richard;Leech, David I",https://search.proquest.com/docview/2002427411?accountid=14507,,Mar 2018,SciTech Premium Collection
The sensitivity of breeding songbirds to changes in seasonal timing is linked to population change but cannot be directly attributed to the effects of trophic asynchrony on productivity,"Franks, Samantha E;Leech, David I;Bell, James R;Pearce-Higgins, James W;Botham, Marc S;Harrington, Richard;Atkinson, Sian;Brereton, Tom M",https://search.proquest.com/docview/2053903690?accountid=14507,,Mar 2018,SciTech Premium Collection
Citizen science has arrived,"Thompson, Sylvia",https://search.proquest.com/docview/2033508255?accountid=14507,,"May 3, 2018",European Newsstream
NBN Co Appoints Corporate Affairs Lead,,https://search.proquest.com/docview/2039324260?accountid=14507,,"May 16, 2018",SciTech Premium Collection
Spatial hidden Markov models and species distributions,"Spezia, Luigi;Friel, Nial;Gimona, Alessandro",https://search.proquest.com/docview/2037005189?accountid=14507,,Jul 2018,"ABI/INFORM Global,SciTech Premium Collection"
